"SPDES_Permit_Number","Facility_Name","Ground_or_Surface","Average_Design_Hydraulic_Flow","Street","City","State","Country","Zip_Code","Latitude","Longitude","Location_1"
"NY0026948","ARCADE STP","Surface","0.5","HURDVILLE RD","ARCADE","NY","USA","14009","42.53","-78.45","HURDVILLE RDARCADE, NY 14009(42.53, -78.45)"
"NY0264008","ARTIFICIAL WETLAND WTS","Surface","0.01","US RTE 9W @ RED TOP RD","HIGHLAND","NY","USA","12528","41.75","-73.95","US RTE 9W @ RED TOP RDHIGHLAND, NY 12528(41.75, -73.95)"
"NY0263214","ASHLAND WASTEWATER TREATMENT PLANT","Surface","0.03","ALONG ST RTE 23  and  CO RTE 63","ASHLAND","NY","USA",,"42.29","-74.34","ALONG ST RTE 23  and amp; CO RTE 63ASHLAND, NY(42.29, -74.34)"
"NY0020877","ATHENS - V BRICKROW STP","Surface","0.02","WATER ST","ATHENS","NY","USA","12015","42.27","-73.79","WATER STATHENS, NY 12015(42.27, -73.79)"
"NY0020869","ATHENS - V  MAIN STP","Surface","0.4","WATER ST","ATHENS","NY","USA","12015","42.26","-73.8","WATER STATHENS, NY 12015(42.26, -73.80)"
"NY0021849","ATTICA WASTEWATER TREATMENT PLANT","Surface","1.4","122 PROSPECT ST","ATTICA","NY","USA","14011","42.87","-78.27","122 PROSPECT STATTICA, NY 14011(42.87, -78.27)"
"NY0021903","AUBURN - C STP","Surface","12","35 BRADLEY ST","AUBURN","NY","USA","13021","42.94","-76.59","35 BRADLEY STAUBURN, NY 13021(42.94, -76.59)"
"NY0023558","AURORA - V STP","Surface","0.3","MAIN ST ST RTE 90 - E SIDE - BETW CO RTE 43A  and  LAKE RD","AURORA","NY","USA","13026","42.73","-76.7","MAIN ST ST RTE 90 - E SIDE - BETW CO RTE 43A  and amp; LAKE RDAURORA, NY 13026(42.73, -76.70)"
"NY0201910","AUSABLE FORKS COMMUNITY WWTF","Surface","0.15","215 GROVE RD","AUSABLE FORKS","NY","USA","12912","44.44","-73.65","215 GROVE RDAUSABLE FORKS, NY 12912(44.44, -73.65)"
"NY0024449","AVON - V  WWTP","Surface","2.75","FARMERS RD","AVON","NY","USA","14414","42.91","-77.75","FARMERS RDAVON, NY 14414(42.91, -77.75)"
"NY0023493","AVON WWTP","Surface","0.79","274 RIVER RD","WOODRIDGE","NY","USA","12789","41.7","-74.6","274 RIVER RDWOODRIDGE, NY 12789(41.70, -74.60)"
"NY0030597","BAINBRIDGE - V STP","Surface","0.32","WALNUT AVE","BAINBRIDGE","NY","USA","13733","42.28","-75.48","WALNUT AVEBAINBRIDGE, NY 13733(42.28, -75.48)"
"NY0030571","BALDWINSVILLE SENECA KNOLLS STP","Surface","9","BARBARA LN","BALDWINSVILLE","NY","USA","13027","43.14","-76.29","BARBARA LNBALDWINSVILLE, NY 13027(43.14, -76.29)"
"NY0026514","BATAVIA - C STP","Surface","5.5","5 TREADEASY AVE","BATAVIA","NY","USA","14020","42.99","-78.2","5 TREADEASY AVEBATAVIA, NY 14020(42.99, -78.20)"
"NY0021431","BATH WASTEWATER TREATMENT PLANT","Surface","1","144 E MORRIS ST","BATH","NY","USA","14810","42.33","-77.3","144 E MORRIS STBATH, NY 14810(42.33, -77.30)"
"NY0026450","BAY PARK SEWAGE TREATMENT PLANT","Surface","70","2 MARJORIE LN","EAST ROCKAWAY","NY","USA","11518","40.63","-73.66","2 MARJORIE LNEAST ROCKAWAY, NY 11518(40.63, -73.66)"
"NY0025976","BEACON STP","Surface","6","DENNINGS AVE","BEACON","NY","USA","12508","41.49","-73.98","DENNINGS AVEBEACON, NY 12508(41.49, -73.98)"
"NY0270091","BEAVER FALLS SEWER DISTRICT","Surface","0.02","MAIN ST","BEAVER FALLS","NY","USA","13305","43.89","-75.39","MAIN STBEAVER FALLS, NY 13305(43.89, -75.39)"
"NY0026841","BELGRAVE STP","Surface","2","EAST END 37TH AVE","GREAT NECK","NY","USA","11022","40.77","-73.74","EAST END 37TH AVEGREAT NECK, NY 11022(40.77, -73.74)"
"NY0031844","BELMONT STP","Surface","0.16","WILLARD  and  ERIE STS","BELMONT","NY","USA","14813","42.22","-78.04","WILLARD  and amp; ERIE STSBELMONT, NY 14813(42.22, -78.04)"
"NY0104809","BERGEN POINT WWTP","Surface","30.5","600 BERGEN AVE","W BABYLON","NY","USA","11704","40.67","-73.34","600 BERGEN AVEW BABYLON, NY 11704(40.67, -73.34)"
"NY0268976","BERNE WASTEWATER PROJECT","Surface","0.03","ST RTE 443 - N SIDE - W OF SCHOOL","BERNE","NY","USA","12023","42.62","-74.14","ST RTE 443 - N SIDE - W OF SCHOOLBERNE, NY 12023(42.62, -74.14)"
"NY0099368","BETHEL KAUNEONGA LAKE STP","Surface","0.6","FLOWER AVE OFF ST RTE 55","KAUNEONGA LAKE","NY","USA","12749","41.68","-74.82","FLOWER AVE OFF ST RTE 55KAUNEONGA LAKE, NY 12749(41.68, -74.82)"
"NY0216291","BIG BAY SEWER DISTRICT STP","Surface","0.06","46 CO RTE 11","WEST MONROE","NY","USA","13167","43.24","-76.12","46 CO RTE 11WEST MONROE, NY 13167(43.24, -76.12)"
"NY0024414","BINGHAMTON JOHNSON CITY STP","Surface","35","4480 OLD VESTAL RD","VESTAL","NY","USA","13901","42.09","-75.96","4480 OLD VESTAL RDVESTAL, NY 13901(42.09, -75.96)"
"NY0024406","BINGHAMTON SEWER SYSTEM OVERFLOWS","Surface","0.15","IN THE CITY OF BINGHAMTON|VARIOUS LOCATIONS","BINGHAMTON","NY","USA","13902","42.1","-75.91","IN THE CITY OF BINGHAMTON|VARIOUS LOCATIONSBINGHAMTON, NY 13902(42.10, -75.91)"
"NY0028410","BIRD ISLAND STP","Surface","180","90 W FERRY ST","BUFFALO","NY","USA","14213","42.92","-78.9","90 W FERRY STBUFFALO, NY 14213(42.92, -78.90)"
"NY0062570","BLACKBERRY HILL SANITARY SD STP","Surface","0.07","SCOTT PL  and  NOEL CT","BREWSTER","NY","USA","10509","41.4","-73.61","SCOTT PL  and amp; NOEL CTBREWSTER, NY 10509(41.40, -73.61)"
"NY0234613","BLACK MEADOW CREEK STP","Surface","0.15","NUCIFORA BLVD","CHESTER","NY","USA","10918","41.34","-74.28","NUCIFORA BLVDCHESTER, NY 10918(41.34, -74.28)"
"NY0026719","BLIND BROOK WWTP","Surface","5","141 OAKLAND BEACH AVE","RYE","NY","USA","10580","40.96","-73.69","141 OAKLAND BEACH AVERYE, NY 10580(40.96, -73.69)"
"NY0024007","BLOOMFIELD - V STP","Surface","0.32","5 ELM ST","BLOOMFIELD","NY","USA","14469","42.9","-77.42","5 ELM STBLOOMFIELD, NY 14469(42.90, -77.42)"
"NY0020991","BLOOMINGDALE STP","Surface","0.06","112 RIVER RD","BLOOMINGDALE","NY","USA","12913","44.4","-74.07","112 RIVER RDBLOOMINGDALE, NY 12913(44.40, -74.07)"
"NY0062251","BLOOMING GROVE TAPPAN HOMES SEWER DIST","Surface","0.07","NORTH DR - W SIDE","BLOOMING GROVE","NY","USA",,"41.4","-74.19","NORTH DR - W SIDEBLOOMING GROVE, NY(41.40, -74.19)"
"NY0274038","BOICEVILLE WWTP","Surface","0.08","ST RTE 28 @ ST RTE 28A","BOICEVILLE","NY","USA",,"42","-74.26","ST RTE 28 @ ST RTE 28ABOICEVILLE, NY(42.00, -74.26)"
"NY0022381","BOLIVAR WWTP","Surface","0.4","WEST LIBERTY ST","BOLIVAR","NY","USA","14715","42.06","-78.17","WEST LIBERTY STBOLIVAR, NY 14715(42.06, -78.17)"
"NY0204650","BONNE VAL SUBDIVISION","Ground","0.02","FARM TO MARKET RD (CO RTE 71)","GREAT VALLEY","NY","USA","14741","42.24","-78.59","FARM TO MARKET RD (CO RTE 71)GREAT VALLEY, NY 14741(42.24, -78.59)"
"NY0020494","BOONVILLE WWTP","Surface","1.1","3040 MILL CREEK RD","BOONVILLE","NY","USA","13309","43.48","-75.32","3040 MILL CREEK RDBOONVILLE, NY 13309(43.48, -75.32)"
"NY0026158","BOWERY BAY WASTWATER TREATMENT PLANT","Surface","150","43-10 BERRIAN BLVD","ASTORIA","NY","USA","11105","40.77","-73.88","43-10 BERRIAN BLVDASTORIA, NY 11105(40.77, -73.88)"
"NY0255726","BRAINARDSVILLE S. D. #1 WWTP","Surface","0.03","CO RD 24","BRAINARDSVILLE","NY","USA","12915","44.85","-74.04","CO RD 24BRAINARDSVILLE, NY 12915(44.85, -74.04)"
"NY0030732","BRASHER FALLS SEWER DIST STP","Surface","0.2","11 FACTORY ST","BRASHER FALLS","NY","USA","13613","44.8","-74.77","11 FACTORY STBRASHER FALLS, NY 13613(44.80, -74.77)"
"NY0027596","BREWERTON WATER POLLUTION CONTROL PLANT","Surface","3","5225 GUY YOUNG RD","BREWERTON","NY","USA","13029","43.23","-76.15","5225 GUY YOUNG RDBREWERTON, NY 13029(43.23, -76.15)"
"NY0026581","BREWSTER - V STP","Surface","0.24","40 PARK ST","BREWSTER","NY","USA","10509","41.39","-73.61","40 PARK STBREWSTER, NY 10509(41.39, -73.61)"
"NY0023507","BROCTON SEWAGE TREATMENT PLANT","Surface","0.66","LAKE AVE","BROCTON","NY","USA","14716","42.4","-79.44","LAKE AVEBROCTON, NY 14716(42.40, -79.44)"
"NY0031232","BROWNVILLE STP","Surface","0.65","STATE ST","BROWNVILLE","NY","USA","13615","44","-75.98","STATE STBROWNVILLE, NY 13615(44.00, -75.98)"
"NY0029971","BUCHANAN - V STP","Surface","0.5","6TH ST - RIVER END","BUCHANAN","NY","USA","10511","41.27","-73.93","6TH ST - RIVER ENDBUCHANAN, NY 10511(41.27, -73.93)"
"NY0160971","BYRON SD STP","Surface","0.08","ST RTE 237 - W SIDE - OPPOSITE MILL POND RD","BYRON","NY","USA","14422","43.08","-78.06","ST RTE 237 - W SIDE - OPPOSITE MILL POND RDBYRON, NY 14422(43.08, -78.06)"
"NY0255751","CADYVILLE WASTEWATER TREATMENT PLANT","Surface","0.01","151 BANKER RD","PLATTSBURGH","NY","USA","12901","44.69","-73.63","151 BANKER RDPLATTSBURGH, NY 12901(44.69, -73.63)"
"NY0260819","CAIRO WWTP","Surface","0.09","CO RTE 41 NE OF HAMLET OF CAIRO","CAIRO","NY","USA","12413","42.3","-73.99","CO RTE 41 NE OF HAMLET OF CAIROCAIRO, NY 12413(42.30, -73.99)"
"NY0110574","CALLICOON SEWER DISTRICT","Surface","0.12","36 VIADUCT RD","CALLICOON","NY","USA","12723","41.76","-75.05","36 VIADUCT RDCALLICOON, NY 12723(41.76, -75.05)"
"NY0021377","CAMDEN WASTEWATER TREATMENT PLANT","Surface","0.8","TABERG ST","CAMDEN","NY","USA","13316","43.35","-75.72","TABERG STCAMDEN, NY 13316(43.35, -75.72)"
"NY0023485","CANAJOHARIE - V STP","Surface","2.8","INCINERATOR RD","CANAJOHARIE","NY","USA","13317","42.9","-74.56","INCINERATOR RDCANAJOHARIE, NY 13317(42.90, -74.56)"
"NY0025968","CANANDAIGUA - C STP","Surface","6.5","183 SALTONSTALL ST","CANANDAIGUA","NY","USA","14424","42.88","-77.26","183 SALTONSTALL STCANANDAIGUA, NY 14424(42.88, -77.26)"
"NY0269573","CANASERAGA WWTP","Surface","0.1","ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE","CANASERAGA","NY","USA","14822","42.46","-77.76","ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINECANASERAGA, NY 14822(42.46, -77.76)"
"NY0029807","CANASTOTA - V WPCP","Surface","1.73","715 N MAIN ST","CANASTOTA","NY","USA","13032","43.09","-75.76","715 N MAIN STCANASTOTA, NY 13032(43.09, -75.76)"
"NY0023248","CANISTEO - V STP","Surface","0.7","2240 DUNNING RD","CANISTEO","NY","USA","14823","42.26","-77.59","2240 DUNNING RDCANISTEO, NY 14823(42.26, -77.59)"
"NY0023469","CANTON WASTEWATER TREATMENT PLANT","Surface","4.2","125 SULLIVAN DR","CANTON","NY","USA","13617","44.61","-75.17","125 SULLIVAN DRCANTON, NY 13617(44.61, -75.17)"
"NY0236586","CANTON WASTEWATER TREATMENT PLANT","Surface","4.2","125 SULLIVAN DR","CANTON","NY","USA","13617","44.61","-75.17","125 SULLIVAN DRCANTON, NY 13617(44.61, -75.17)"
"NY0021393","CAPE VINCENT SEWAGE TREATMENT PLANT","Surface","0.14","ELM  and  LAKE STS","CAPE VINCENT","NY","USA","13618","44.13","-76.31","ELM  and amp; LAKE STSCAPE VINCENT, NY 13618(44.13, -76.31)"
"NY0030678","CARMEL HILLSDALE ESTATES STP","Surface","0.03","CARY ST - OFF ST RTE 6N","MAHOPAC","NY","USA","10541","41.34","-73.78","CARY ST - OFF ST RTE 6NMAHOPAC, NY 10541(41.34, -73.78)"
"NY0031356","CARMEL SD #2 STP","Surface","1.1","US RTE 6  and  BREWSTER AVE","CARMEL","NY","USA","10541","41.41","-73.67","US RTE 6  and amp; BREWSTER AVECARMEL, NY 10541(41.41, -73.67)"
"NY0031828","CARMEL SD 6  IVY HILLS STP","Surface","0.05","GREENWAY TER  and  VINELAND RD","MAHOPAC","NY","USA","10541","41.34","-73.78","GREENWAY TER  and amp; VINELAND RDMAHOPAC, NY 10541(41.34, -73.78)"
"NY0105252","CARMEL SEWER DIST 4 STP","Surface","0.2","NORTH RD  and  ORCHARD RD","MAHOPAC","NY","USA","10541","41.38","-73.79","NORTH RD  and amp; ORCHARD RDMAHOPAC, NY 10541(41.38, -73.79)"
"NY0030970","CASTLETON ON HUDSON - V STP","Surface","0.24","ST RTE 9J - N MAIN ST","CASTLETON ON HUDSON","NY","USA","12033","42.53","-73.75","ST RTE 9J - N MAIN STCASTLETON ON HUDSON, NY 12033(42.53, -73.75)"
"NY0033511","CASTORLAND WASTEWATER TREATMENT FAC","Surface","0.05","ST RTE 410 - NW SIDE JUST SW OF RIVER","CASTORLAND","NY","USA","13620","43.89","-75.5","ST RTE 410 - NW SIDE JUST SW OF RIVERCASTORLAND, NY 13620(43.89, -75.50)"
"NY0205044","CATSKILL - T SD 4","Surface","0.03","MAPLE AVE","CEMENTON","NY","USA","12414","42.13","-73.91","MAPLE AVECEMENTON, NY 12414(42.13, -73.91)"
"NY0020389","CATSKILL - V WWTP","Surface","1.55","LOWER MAIN ST","CATSKILL","NY","USA","12414","42.21","-73.85","LOWER MAIN STCATSKILL, NY 12414(42.21, -73.85)"
"NY0025861","CATTARAUGUS STP","Surface","0.06","TANNERY RD @ S BRANCH CATTARAUGUS CRK","CATTARAUGUS","NY","USA","14719","42.32","-78.85","TANNERY RD @ S BRANCH CATTARAUGUS CRKCATTARAUGUS, NY 14719(42.32, -78.85)"
"NY0262102","CAYUGA AND AURELIUS JOINT WWTP","Surface","0.13","RIVER RD","AURELIUS","NY","USA",,"42.95","-76.73","RIVER RDAURELIUS, NY(42.95, -76.73)"
"NY0020958","CAYUGA HEIGHTS-V WASTEWATER TREATMENT PL","Surface","2","951 E SHORE DR","CAYUGA HEIGHT","NY","USA","14850","42.47","-76.5","951 E SHORE DRCAYUGA HEIGHT, NY 14850(42.47, -76.50)"
"NY0025241","CAYUGA - V STP","Surface","0.1","ST RTE 90 - E SIDE - BETW CO RTE 8  and  TURNPIKE RD","CAYUGA","NY","USA","13034","42.93","-76.71","ST RTE 90 - E SIDE - BETW CO RTE 8  and amp; TURNPIKE RDCAYUGA, NY 13034(42.93, -76.71)"
"NY0028525","CAZENOVIA WASTEWATER TREATMENT PLANT","Surface","0.95","ST RTE 13 NORTH - E SIDE - N OF CLARK ST","CAZENOVIA","NY","USA",,"42.94","-75.84","ST RTE 13 NORTH - E SIDE - N OF CLARK STCAZENOVIA, NY(42.94, -75.84)"
"NY0026859","CEDAR CREEK WPCP","Surface","72","3340 MERRICK RD  and  CEDAR CREEK PK","WANTAGH","NY","USA","11793","40.65","-73.5","3340 MERRICK RD  and amp; CEDAR CREEK PKWANTAGH, NY 11793(40.65, -73.50)"
"NY0022462","CEDARHURST WATER POLLUTION CONTROL PLANT","Surface","1","PENINSULA BLVD @ HANLON DR","CEDARHURST","NY","USA","11516","40.63","-73.73","PENINSULA BLVD @ HANLON DRCEDARHURST, NY 11516(40.63, -73.73)"
"NY0263087","CENTRAL BRIDGE SEWER DIST WWTP","Surface","0.06","662 ST RTE 30A - OPPOSITE S MAIN ST","CENTRAL BRIDGE","NY","USA",,"42.71","-74.33","662 ST RTE 30A - OPPOSITE S MAIN STCENTRAL BRIDGE, NY(42.71, -74.33)"
"NY0035131","CENTRAL SQUARE - V STP","Surface","0.45","WEBB AVE - ST RTE 49 E - S SIDE","CENTRAL SQUARE","NY","USA","13036","43.28","-76.13","WEBB AVE - ST RTE 49 E - S SIDECENTRAL SQUARE, NY 13036(43.28, -76.13)"
"NY0032204","CHAMPLAIN STP","Surface","0.65","45 RIVER ST","CHAMPLAIN","NY","USA","12919","44.98","-73.44","45 RIVER STCHAMPLAIN, NY 12919(44.98, -73.44)"
"NY0024830","CHATEAUGAY STP","Surface","0.85","CO RTE 35 - W SIDE - 0.6 MI NW OF US RTE 11","CHATEAUGAY","NY","USA","12920","44.93","-74.1","CO RTE 35 - W SIDE - 0.6 MI NW OF US RTE 11CHATEAUGAY, NY 12920(44.93, -74.10)"
"NY0023582","CHATHAM - V STP","Surface","0.37","BROOKSIDE AVE EXT","CHATHAM","NY","USA","12037","42.36","-73.6","BROOKSIDE AVE EXTCHATHAM, NY 12037(42.36, -73.60)"
"NY0257851","CHAUMONT WWTP","Surface","0.1","ABANDONED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179","CHAUMONT","NY","USA","13622","44.07","-76.13","ABANDONED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179CHAUMONT, NY 13622(44.07, -76.13)"
"NY0269450","CHAUTAUQUA HEIGHTS SEWER DISTRICT","Surface","0.06","ST RTE 430 - W SIDE","SHORELANDS","NY","USA",,"42.24","-79.46","ST RTE 430 - W SIDESHORELANDS, NY(42.24, -79.46)"
"NY0029769","CHAUTAUQUA UTILITY DIST STP","Surface","0.84","99 S LAKE DR","CHAUTAUQUA","NY","USA","14722","42.2","-79.45","99 S LAKE DRCHAUTAUQUA, NY 14722(42.20, -79.45)"
"NY0032379","CHEEKTOWAGA SD 5","Surface","0","BROADWAY  and  UNION RD","CHEEKTOWAGA","NY","USA","14227","42.87","-78.78","BROADWAY  and amp; UNION RDCHEEKTOWAGA, NY 14227(42.87, -78.78)"
"NY0035742","CHEMUNG CO ELMIRA SEWER DISTRICT","Surface","12","600 MILTON ST","ELMIRA","NY","USA","14901","42.07","-76.77","600 MILTON STELMIRA, NY 14901(42.07, -76.77)"
"NY0246948","CHEMUNG CO ELMIRA SWR DIST BAKER RD WWTF","Surface","0.02","BAKER RD","CHEMUNG","NY","USA",,"42","-76.62","BAKER RDCHEMUNG, NY(42.00, -76.62)"
"NY0036986","CHEMUNG CO SEWER DISTRICT #1 STP","Surface","12.2","1700 LAKE ST","ELMIRA","NY","USA","14901","42.12","-76.8","1700 LAKE STELMIRA, NY 14901(42.12, -76.80)"
"NY0213781","CHENANGO NORTHGATE WWTP","Surface","0.8","ST RTE 12  and  US RTE 11|S OF CASTLE CREEK","BINGHAMTON","NY","USA","13901","42.15","-75.89","ST RTE 12  and amp; US RTE 11|S OF CASTLE CREEKBINGHAMTON, NY 13901(42.15, -75.89)"
"NY0204081","CHERRY CREEK SEWAGE TREATMENT PLANT","Surface","0.06","SOUTHSIDE AVE","CHERRY CREEK","NY","USA","14723","42.29","-79.09","SOUTHSIDE AVECHERRY CREEK, NY 14723(42.29, -79.09)"
"NY0109401","CHESTER SUGAR LOAF STP","Surface","0.05","WELL SWEEP LN","CHESTER","NY","USA","10918","41.31","-74.27","WELL SWEEP LNCHESTER, NY 10918(41.31, -74.27)"
"NY0021539","CHITTENANGO - V STP","Surface","1.3","TOWPATH RD","CHITTENANGO","NY","USA","13037","43.06","-75.87","TOWPATH RDCHITTENANGO, NY 13037(43.06, -75.87)"
"NY0032026","CHURCHVILLE - V WWTF","Surface","0.3","S MAIN ST - E SIDE - S OF I-490","CHURCHVILLE","NY","USA","14428","43.09","-77.88","S MAIN ST - E SIDE - S OF I-490CHURCHVILLE, NY 14428(43.09, -77.88)"
"NY0027961","CITY OF DUNKIRK WWTP","Surface","6","WRIGHT PARK DR","DUNKIRK","NY","USA","14048","42.49","-79.31","WRIGHT PARK DRDUNKIRK, NY 14048(42.49, -79.31)"
"NY0022110","CITY OF SHERRILL STP","Surface","0.95","FAIRWAY LN","SHERRILL","NY","USA","13461","43.07","-75.61","FAIRWAY LNSHERRILL, NY 13461(43.07, -75.61)"
"NY0029076","CLARK MILLS SEWAGE TREATMENT PLANT","Surface","0.3","TREATMENT PLANT ACCESS ROAD OFF OF WESTMORELAND RD","CLARK MILLS","NY","USA","13321","43.09","-75.37","TREATMENT PLANT ACCESS ROAD OFF OF WESTMORELAND RDCLARK MILLS, NY 13321(43.09, -75.37)"
"NY0215791","CLAYTON/DEPAUVILLE SEWER DISTRICT","Surface","0.04","CAROLINE ST","DEPAUVILLE","NY","USA","13632","44.13","-76.07","CAROLINE STDEPAUVILLE, NY 13632(44.13, -76.07)"
"NY0027545","CLAYTON STP","Surface","1.1","GARDNER ST","CLAYTON","NY","USA","13624","44.24","-76.08","GARDNER STCLAYTON, NY 13624(44.24, -76.08)"
"NY0214370","CLEVELAND - V STP","Surface","0.15","LAKE ST","CLEVELAND - V","NY","USA","13042","43.23","-75.88","LAKE STCLEVELAND - V, NY 13042(43.23, -75.88)"
"NY0020311","CLIFTON SPRINGS - V WWTP","Surface","0.5","LADUE AVE","CLIFTON SPRINGS","NY","USA","14432","42.96","-77.13","LADUE AVECLIFTON SPRINGS, NY 14432(42.96, -77.13)"
"NY0021385","CLINTON SEWAGE TREATMENT PLANT","Surface","2.5","NORTON AVE","CLINTON","NY","USA","13323","43.06","-75.38","NORTON AVECLINTON, NY 13323(43.06, -75.38)"
"NY0023965","CLYDE - V STP","Surface","0.4","FORD ST","CLYDE","NY","USA","14433","43.08","-76.86","FORD STCLYDE, NY 14433(43.08, -76.86)"
"NY0024201","COBLESKILL-V-WATER POLL CONTROL PLANT","Surface","1.8","EAST MACARTHUR AVE","COBLESKILL","NY","USA","12043","42.67","-74.47","EAST MACARTHUR AVECOBLESKILL, NY 12043(42.67, -74.47)"
"NY0030694","COCHECTON LAKE HUNTINGTON SEWER DIST","Surface","0.21","OLSEN RD","LAKE HUNTINGTON","NY","USA","12752","41.67","-74.99","OLSEN RDLAKE HUNTINGTON, NY 12752(41.67, -74.99)"
"NY0022772","COEYMANS-RAVENA WATER POLLUTION CONTROL FACILITY","Surface","0.82","67 SEWER PLANT ACCESS RD - S MAIN ST  and  ST RTE 144","COEYMANS","NY","USA","12045","42.46","-73.78","67 SEWER PLANT ACCESS RD - S MAIN ST  and amp; ST RTE 144COEYMANS, NY 12045(42.46, -73.78)"
"NY0031046","COHOES - C COMBINED SEWER OVERFLOWS","Surface","0.06","MYRTLE AVE/HUDSON AVE/BRIDGE AVE/VAN SCHAICK AVE/N GANSVOORT AVE/ONTARIO ST/N MOHAWK  and  VLIET STS/SARATOGA ST/CONBOY AVE/PEACH ST/CEDAR ST/GARNER ST/COLUMBIA","COHOES","NY","USA","12047","42.76","-73.69","MYRTLE AVE/HUDSON AVE/BRIDGE AVE/VAN SCHAICK AVE/N GANSVOORT AVE/ONTARIO ST/N MOHAWK  and amp; VLIET STS/SARATOGA ST/CONBOY AVE/PEACH ST/CEDAR ST/GARNER ST/COLUMBIACOHOES, NY 12047(42.76, -73.69)"
"NY0022721","COLD SPRING WWTP","Surface","0.5","53 FAIR ST","COLD SPRING","NY","USA","10516","41.42","-73.96","53 FAIR STCOLD SPRING, NY 10516(41.42, -73.96)"
"NY0022012","COLTON STP","Surface","0.07","SPRING ST","COLTON","NY","USA","13625","44.55","-74.93","SPRING STCOLTON, NY 13625(44.55, -74.93)"
