"County","Workforce_Information_Act_Regions","Name","Street_Address","City","State","ZIP","Phone","Fax","Email","URL","Hours","Parking","Public_Transit_Access","Directions","Location_1"
"Kings","New York City","Brooklyn Central Library Workforce1 Career Center","10 Grand Army Plaza Floor 2","Brooklyn","New York","11238","(347) 765-2250","","Workforce1centralbklyn@grantassociatesinc.com","http;//www.nyc.gov/workforce1","M-Th; 9;00 a.m. - 5;00 p.m.,  F; 10;00 a.m. - 6;00 p.m.","","","http;//maps.google.com/maps?hl=en and gs_rn=14 and gs_ri=psy-ab and cp=11 and gs_id=1m and xhr=t and q=10+grand+army+plaza+brooklyn+ny+11238 and safe=active and gl=us and bav=on.2,or.r_qf. and bvm=bv.47008514,d.eWU and biw=1330 and bih=839 and um=1 and ie=UTF-8 and sa=X and ei=qM6fUfXREsGSrAGJ64HYCg and sqi=2 and ved=0CAgQ_AUoAg",
"Kings","New York City","Brooklyn Workforce1 Career Center","9 Bond Street, 5th Floor Between Livingston  and  Fulton Streets","Brooklyn","NY","11201","(718)246-5219","","","http;//www.nyc.gov/workforce1","M-F; 9;00 a.m. - 5;00 p.m.","","Bus and Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=9+bond+st+brooklyn+ny and sll=43.173474,-76.258078 and sspn=0.000925,0.001719 and ie=UTF8 and ll=40.690873,-73.983114 and spn=0.007696,0.013754 and t=h and z=16 and iwloc=A",
"Kings","New York City","New York State Department of Labor - Workforce1 Career Center","250 Schermerhorn Street  ","Brooklyn","New York","11201","(718) 780-9200","(718) 624-5713","","http;//www.nyc.gov/workforce1","M-F; 8;30 a.m. - 5;00 p.m.","","Bus and Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and q= and vps=3 and jsv=185c and sll=40.689213,-73.979887 and sspn=0.009811,0.022681 and g=625+Fulton+Street+brooklyn,+ny and ie=UTF8 and geocode=FT3ebAIdESiX-w and split=0",
"Kings","New York City","Sunset Park Library Workforce1 Career Center","5108 4th Avenue, Lower Level Between 51st St and 52nd St","Brooklyn","New York","11220","(347) 296-8063","","Workforce1sunsetpark@grantassociatesinc.com","http;//www.nyc.gov/workforce1","M-W; 10;00 a.m. - 6;00 p.m., Th; 1;00 p.m. - 6;00 p.m., F; 10;00 a.m. - 6;00 p.m.","","","http;//maps.google.com/maps?hl=en and gl=us and q=5108+4th+Avenue,+Lower+Level+brooklyn+ny and bav=on.2,or.r_qf. and bvm=bv.47008514,d.eWU and biw=1330 and bih=839 and safe=active and um=1 and ie=UTF-8 and sa=N and tab=wl",
"Lewis","Jefferson-Lewis","The Work Place","5274 Outer Stowe Street ","Lowville","New York","13367","(315)376-5800","(315)376-5328","23a027@dfa.state.ny.us","http;//www.jefflewisworkforce.com","M-F; 8;30 a.m. - 4;30 p.m.","","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=5274+Stowe+St,+Lowville,+NY+13367 and sll=43.783256,-75.49382 and sspn=0.007328,0.013754 and ie=UTF8 and ll=43.783504,-75.49382 and spn=0.007328,0.013754 and t=h and z=16 and iwloc=A",
"Livingston","Genesee-Livingston-Orleans-Wyoming Counties","Livingston County Office of Workforce Development","6 Court Street Room 105 ","Geneseo","New York","14454","(585) 243-7048","(585) 243-7598","rsnyder@co.livingston.ny.us","http;//glowworks.org/","M-F; 8;00 a.m. - 4;00 p.m.","","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=6+court+st+geneseo+ny and sll=43.783504,-75.49382 and sspn=0.007328,0.013754 and ie=UTF8 and ll=42.802753,-77.817814 and spn=0.007447,0.013754 and t=h and z=16 and iwloc=A",
"Madison","Herkimer-Madison-Oneida","Working Solutions Career Center","1006 Oneida Plaza Drive ","Oneida","New York","13421","(315)363-2400","(315)363-4545","madet@madisoncounty.ny.gov","http;//www.working-solutions.org","M-F; 8;00 a.m. - 5;00 p.m.","Private Lot","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=1006+oneida+plaza+drive+oneida+ny and sll=40.934768,-73.898442 and sspn=0.007667,0.013754 and ie=UTF8 and ll=43.078982,-75.689149 and spn=0.007413,0.013754 and t=h and z=16 and iwloc=A",
"Monroe","Monroe County","Rochester Works! Career Center","255 North Goodman Street ","Rochester","New York","14607","(585) 258-3500","(585) 232-3727","vtcarter@rochesterworks.org","http;//www.rochesterworks.org","M -Th; 8;30 a.m. - 4;30 p.m., F; 8;30 am - 12;00 pm","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=255+North+Goodman+Street+rochester+ny and sll=42.802753,-77.817814 and sspn=0.007447,0.013754 and ie=UTF8 and ll=43.159832,-77.585535 and spn=0.007404,0.013754 and t=h and z=16 and iwloc=A",
"Monroe","Monroe County","Rochester Works! Career Center","276 Waring Rd. ","Rochester","New York","14609","(585)266-7760","(585)266-7041","mike.puglisi@labor.ny.gov","http;//rochesterworks.org","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot","Bus","http;//maps.google.com/maps?hl=en and q=276+waring+ave+rochester+ny and bav=on.2,or.r_qf. and bvm=bv.47008514,d.aWM and biw=1330 and bih=839 and safe=active and um=1 and ie=UTF-8 and sa=N and tab=wl",
"Monroe","Monroe County","RochesterWorks! Welfare-to-Work Center","Department of Social Services 691 St. Paul Street","Rochester","New York","14605","(585) 753-5656","(585) 753.5606","kzeigler@rochesterworks.org","http;//rochesterworks.org","M,W,Th; 1;00 p.m.  - 4;00 p.m. (Other times by appointment and workshops only)","Private Lot","Bus","http;//maps.google.com/maps?hl=en and bav=on.2,or.r_qf. and bvm=bv.47008514,d.aWM and biw=1330 and bih=839 and safe=active and q=691+st+paul+st+rochester+ny and um=1 and ie=UTF-8 and hq= and hnear=0x89d6b44f75c791dd;0xf51778d4e1f4dc42,691+St+Paul+St,+Rochester,+NY+14605 and gl=us and daddr=691%20St%20Paul%20St,%20Rochester,%20NY%2014605 and sa=X and ei=L86fUYR8h-yoAZrsgPAD and ved=0CDcQwwUwAg",
"Montgomery","Fulton-Montgomery-Schoharie","Amsterdam Workforce Solutions","2620 Riverfront Center ","Amsterdam","New York","12010","(518) 842-3676","(518) 842-3802","susan.dufel@labor.state.ny.us","http;//www.fmsworkforcesolutions.org","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot","Bus","http;//www.google.com/maps?source=s_q and hl=en and geocode= and q=2620+riverfront+center and sll=43.185293,-77.565923 and sspn=0.0074,0.013754 and g=276+waring+rd+rochester+ny and ie=UTF8 and near=Amsterdam,+NY and ll=42.939679,-74.189837 and spn=0.007037,0.013754 and t=h and z=16 and iwloc=B",
"Nassau","Hempstead/City of Long Beach","Hempstead Works Career Center","Hempstead Executive Plaza 50 Clinton Street Suite 400 ","Hempstead","New York","11550","(516) 485-5000","(516) 485-5009","jlukas@hempsteadworks.com","http;//www.hempsteadworks.com","M-F; 9;00 a.m. - 4;45 p.m.","Private Lot","Bus, Train","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=50+clinton+st+suite+400+hempstead+ny and sll=42.996424,-78.164656 and sspn=0.007423,0.013754 and ie=UTF8 and ll=40.709044,-73.618376 and spn=0.007694,0.013754 and t=h and z=16 and iwloc=A",
"Nassau","Oyster Bay Consortium","Hicksville Career Center","301 W. Old Country Road ","Hicksville","New York","11801","(516) 934-8578","(516) 934-8507","may-whei.lin@labor.ny.gov","http;//www.thewp.org","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus, LI Railroad","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=301+W.+Old+Country+Road+hicksville+ny and sll=40.746054,-73.937602 and sspn=0.007689,0.013754 and ie=UTF8 and ll=40.761382,-73.534906 and spn=0.007688,0.013754 and t=h and z=16 and iwloc=A",
"Nassau","Oyster Bay Consortium","Massapequa Employment Center","977 Hicksville Road ","Massapequa","New York","11758","(516) 797-4560","(516) 797-4589","gparaninfo@oysterbay-ny.gov","http;//www.thewp.org","M-F; 9;00 a.m. - 4;30 p.m.","Private Lot","LIRR Massapequa Train Station","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=977+hicksville+rd+massapequa+ny and sll=42.454938,-75.065203 and sspn=0.007457,0.013754 and ie=UTF8 and ll=40.690921,-73.477399 and spn=0.007663,0.013754 and t=h and z=16 and iwloc=A",
"New York","New York City","Madison Avenue Workforce1 Career Center","60 Madison Avenue, Suite 704 Between E. 26th and E. 27th Streets","New York","New York","10010","(646) 358-4747","","workforce1madisonave@grantassociatesinc.com","http;//www.nyc.gov/workforce1","M-F; 9;00 a.m. - 5;00 p.m.","","","http;//maps.google.com/maps?hl=en and gl=us and q=60+Madison+Avenue,+Suite+704 and bav=on.2,or.r_qf. and bvm=bv.47008514,d.eWU and biw=1330 and bih=839 and safe=active and um=1 and ie=UTF-8 and sa=X and ei=Nc-fUcGkDYa9qAH5_oGwBQ and ved=0CAgQ_AUoAg",
"New York","New York City","New York State Department of Labor","Lower Manhattan Workforce1 Career Center 75 Varick Street","New York","New York","10013","(212)775-3771","(212)775-3853","","http;//www.nyc.gov/workforce1","M-F; 8;30 a.m. - 5;00 p.m.","","Bus and Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=1+Hudson+Square,+75+Varick+Street+new+york+ny and sll=40.694436,-73.987137 and sspn=0.003848,0.006877 and ie=UTF8 and ll=40.724039,-74.006921 and spn=0.003846,0.006877 and t=h and z=17 and iwloc=A",
"New York","New York City","NYC Workforce 1 Career Center","215 West 125th Street 6th Floor Between 7th  and  8th Avenues","New York","New York","10027","(917) 493-7223","(646) 698-3040","","http;//www.nyc.gov/workforce1","M-F; 8;30 a.m. - 5;00 p.m.","Street","Bus and Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=215+west+125th+st+new+york and sll=42.939679,-74.189837 and sspn=0.007037,0.013754 and ie=UTF8 and ll=40.811617,-73.948696 and spn=0.007276,0.013754 and t=h and z=16 and iwloc=r10",
"Niagara","Niagara County","Lockport WorksourceOne Center","272 S. Transit Street ","Lockport","New York","14094","(716) 433-6766","(716) 439-8933","","http;//worksource1.org/","M-F; 8;30 a.m. - 4;30 p.m.","Yes","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=81+walnut+street+lockport+ny and sll=42.962413,-78.717454 and sspn=0.02971,0.055017 and ie=UTF8 and ll=43.170162,-78.692322 and spn=0.007402,0.013754 and t=h and z=16 and iwloc=A",
"Niagara","Niagara County","Trott ACCESS Center","Niagara County E and T 1001 11th Street ","Niagara Falls","New York","14301","(716) 278-8281","(716) 278-8158","paul.parise@niagaracounty.com","http;//www.worksource1.com","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=1001+11th+st+niagara+falls+ny and sll=37.0625,-95.677068 and sspn=32.80241,56.337891 and ie=UTF8 and ll=43.099573,-79.049356 and spn=0.007379,0.013754 and t=h and z=16 and iwloc=A",
