"Region","County","Site_Name_Title","Description","Latitude","Longitude","Statewide_PTH_Site_Theme_Tag","Website_URL","Photo_URL","Town_City_Village","Address","State","Zip_Code","Phone","Location"
"Capital-Saratoga","Albany","USS Slater/Destroyer Escort Historical Musem","This cannon class destroyer escorted convoys to England during World War II. The USS SLATER is a National Historic Landmark, and the last floating survivor of 563 sister ships in the US. The fully restored vessel now serves as a museum and illustrates conditions upon a destroyer escort during WWII.","42.6409538","-73.751779","Canals and Transportation","http;//www.ussslater.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/107.jpg","Albany","141 Broadway","NY","12202","518-431-1943","(42.640953799999998, -73.751778999999999)"
"Capital-Saratoga","Albany","Watervliet Arsenal Museum","The museum tells the story of the Watervliet Arsenal as well as the history of the Big Guns.  In addition to the one-of-a-kind guns from the past 400 years, there are new artillery weapons.  Everything from 60mm lightweight company mortars to the massive 16-inch guns of World War II battleships fame can be found. Rare cannon including the Burgoyne Gun captured at the Battle of Saratoga and the Williams Automatic Cannon and other artifacts tell the history of the nations oldest arsenal as well as the history of cannon production.","42.7194639","-73.7075653","War of 1812","http;//www.wva.army.mil/museum","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/115.jpg","Watervliet","1 Buffington Street","NY","12189","518-266-4772","(42.719463900000001, -73.707565299999999)"
"Chautauqua-Allegheny","Allegany","Moss Lake; A National Natural Landmark","Experience nature as you hike the trail around this nature preserve and lake formed from a glacier melt.","42.399219","-78.185926","Natural History","http;//www.dec.ny.gov","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/776.jpg","Houghton","Sand Hill Road","NY","14744","585-546-8030","(42.399219000000002, -78.185925999999995)"
"New York City","Bronx","Bartow-Pell Mansion Museum","The story begins in 1654 when Thomas Pell purchased the land from the Siwanoy Indians. The estate was reduced to 220 acres after the Revolutionary War. In 1836, Robert Bartow purchased the property and built the present Greek Revival style mansion. The Bartow family lived there until the property was sold to New York City in 1888. Using its elegant buildings, grounds, and collections, the museum, which opened in 1946, interprets the people who lived and worked on the estate through tours, educational programs, and special events.","40.882765","-73.7947738","Colonial History","http;//www.bpmm.org","","Bronx","895 Shore Rd","NY","10464","718-885-1461","(40.882764999999999, -73.794773800000002)"
"New York City","Bronx","Bronx Zoo","The Bronx Zoo opened in 1899 and is now one of the most famous and largest wildlife conservation parks in the nation, with naturalistic habitats like Jungle World, Tiger Mountain, Wild Asia and Congo Gorilla Forest among historically landmarked buildings and monuments.","40.853976","-73.877649","Natural History","http;//www.bronxzoo.com","","Bronx","2300 South Blvd","NY","10460","718-367-1010","(40.853976000000003, -73.877649000000005)"
"New York City","Bronx","Grand Concourse Historic District","The Grand Boulevard and Concourse has a history as one of New Yorks most stylish thoroughfares. Opened to traffic in 1909, the Grand Concourse was at the center of the economic and population boom that transformed the borough in the following half-century. Desinger Louis Risse was inspired by the Champs-lyses in Paris. Today, the Grand Concourse is lined with an incomparable concentration of Art Deco and Art Moderne apartment buildings.","40.7309579","-73.9879116","Not Provided","http;//hdc.org/hdc-across-nyc/bronx/hd-map/bronx-landmarks-grand-concourse/grand-concourse","","Bronx","232 East 11th Street","NY","10003","212-614-9107","(40.7309579, -73.987911600000004)"
"New York City","Bronx","Hall of Fame for Great Americans","Dedicated in 1901 and designed by Stanford White, the hall of fame honors prominent Americans who have had a significant impact on the nations history. It was created during the construction of New York Universitys undergraduate college campus, which is now home to Bronx Community College. The hall of fames principal feature is a sweeping, semi-circular colonnade that displays the bronze portrait busts of the honorees and links Gould Memorial Library, the Hall of Languages, and the Cornelius Baker Hall of Philosophy.","40.8575437","-73.9096653","Arts and Culture","http;//www.bcc.cuny.edu","","Bronx","2183 University Ave","NY","10468","718-289-5910","(40.857543700000001, -73.9096653)"
"New York City","Bronx","New York Botanical Garden","In the late 19th century, prominent civic leaders and financiers including botanist Elizabeth Gertrude Britton and industrialists Andrew Carnegie, Cornelius Vanderbilt and J. Pierpont Morgan so believed in creating a public garden of the highest class that they matched public funds to create the New York Botanical Garden.  The living plant museum still awes today with 250 acres of gardens and landscapes across this National Historic Landmark site.","40.8650383","-73.8837589","Natural History","http;//www.nybg.org","","Bronx","2900 Southern Blvd","NY","10467","718-817-8700","(40.865038300000002, -73.883758900000004)"
"New York City","Bronx","Valentine- Varian House/Museum of Bronx History","In 1758 Isaac Valentine, blacksmith and farmer, built the  Georgian house where he had access to crop markets and blacksmith business.  In the Revolutionary War British and Colonial armies contested possession of the bridge and road. Isaac Varian bought the House and farm from Valentines creditors in 1792.  Varians  son Michael took over and then Michaels son Jesse became the third generation to  operate the farm. It was donated to The Bronx County Historical Society in 1965 which operates it as the Museum of Bronx History.","40.8770285","-73.8796619","Colonial History","http;//www.bronxhistoricalsociety.org","","Norwood, Bronx","3266 Bainbridge Avenue","NY","10467","718- 881-8900","(40.877028500000002, -73.879661900000002)"
"New York City","Bronx","Van Cortlandt House","Built in 1748 to house a prominent New York family, the Van Cortlandt House is New York Citys first historic house museum and the oldest building in the Bronx. During the Revolutionary War, the houses location gave it a strategic position in the conflict. The house and plantation were occupied by Colonial and British armies in turn. General George Washington is known to have stayed in the house at least twice, as did British General Sir William Howe.","40.889752","-73.896007","Colonial History","http;//www.historichousetrust.org","","Riverdale, Bronx","Broadway at West 246th Street","NY","10471","718-543-3344","(40.889752000000001, -73.896006999999997)"
"New York City","Bronx","Wave Hill","Wave Hill is a 28-acre public garden and cultural center in the Bronx overlooking the Hudson River and Palisades. It celebrates the artistry and legacy of its gardens and landscapes, preserves magnificent views, and provides programs in horticulture, education and the arts. Contemporary visual arts exhibits are on display in the Glyndor Gallery as well as on the grounds. Popular weekly art programs for families are held at Wave Hill House, a gray fieldstone mansion built in 1843 by lawyer William Lewis Morris.","40.9001757","-73.9111796","Natural History","http;//www.wavehill.org","","Riverdale, Bronx","675 W 252nd St","NY","10471","718-549-3200","(40.900175699999998, -73.911179599999997)"
"New York City","Bronx","Weeksville Heritage Center","During the 19th century the village of Weeksville was a vibrant and independent free African American community.  The settlement was named for James Weeks, one member of a group of African American investors who acquired the property in 1838 to create an intentional land-owning community.  Weeksville Heritage Center is the steward for three remaining 19th century houses, and emphasizes Weeksvilles history of sanctuary, refuge, independence, self-sufficiency, self-determination and activism.","40.6745918","-73.9260686","Civil Rights","http;//www.weeksvillesociety.org","","Brooklyn","1698 Bergen Street","NY","11213","718-756-5250","(40.674591800000002, -73.926068599999994)"
"New York City","Bronx","Woodlawn Cemetery","Established in 1863, Woodlawn Cemetery is one of the nations distinctive garden cemeteries, providing a spectacular setting to honor the 300,000 individuals memorialized on its grounds. Its monuments represent some of the finest examples of memorial architecture and art in the nation, including over 1,300 private mausoleums.","40.895397","-73.863574","Arts and Culture","http;//www.thewoodlawncemetery.org","","Bronx","East 233rd Street and Webster Ave","NY","10470","718-920-0500","(40.895397000000003, -73.863574)"
"New York City","Bronx","Yankee Stadium - Yankee Museum and Monument Park","It may be housed in a new Yankee Stadium, but the Yankees Monument Park in the Bronx still serves as an open-air museum containing a collection of monuments, plaques and retired numbers honoring distinguished members of the historic Major League baseball team, winners of more World Series than any other club.  The Yankees Museum features memorabilia, life-size statutes and exhibits. A daily Yankee Stadium Tour also features visits to the dugout, clubhouse and press box.","40.8295317","-73.9264486","Sports History","http;//www.newyork.yankees.mlb.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/688.jpg","Bronx","1 East 161st Street","NY","10451","718-293-6000","(40.829531699999997, -73.926448600000001)"
"Central New York","Broome","Binghamton Zoo @ Ross Park","Ross Park is a historical facility, serving the community for over 137 years.  It contains a 90-year old carousel ride and the Binghamton Zoo. At one time the states first electric trolley ran from Ross park to the business district of Binghamton.","42.0746416","-75.9087078","Natural History","http;//www.rossparkzoo.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/690.jpg","Binghamton","60 Morgan Road","NY","13903","607-724-5461","(42.0746416, -75.908707800000002)"
"Central New York","Broome","Broome County Carousels","Broome County carousels located in several local area parks in the Greater Binghamton area are among the fewer than 170 antique carousels still in existence in the US and Canada.  They were created by New York carousel maker Allan Herschell and donated to the public between 1919 and 1934 by George F. Johnson, shoe manufacturer and benefactor. Visitors can ride the carousels from Memorial Day to Labor Day free of charge.","42.117517","-75.950114","Arts and Culture","http;//www.visitbinghamton.org/whattosee/carousels.php","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/691.jpg","Binghamton","Various Locations; C. Fred Johnson Park, Johnson City; George W. Johnson Park, Endicott; West Endicott Park, Endicott; Recreation Park, Binghamton; Ross Park, Binghamton; Highland Park, Endwell","NY","13905","607-772-0660x255","(42.117516999999999, -75.950113999999999)"
"Central New York","Broome","Chenango Valley State Park","A section of the historic Chenango Canal prism and towpath is preserved in the park as well as a large culvert, remains of Lock 107, and an adjacent guard lock that allowed boats to access the Chenango River. A 5-mile trail along the waters of the Chenango Canal runs from Woodmans Pond to corner of Elm Street and Canal Rd in Bouckville. The Canal is a year-round designated trout fishing stream stocked with brown and brook trout.","42.213768","-75.838832","Canals and Transportation","http;//www.nysparks.state.ny.us","","Chenango Forks","153 State Park Road","NY","13746","607-648-5251","(42.213768000000002, -75.838831999999996)"
"Central New York","Broome","Roberson Museum  and  Science Center","Listed on National and State Historic Register, Roberson Museum and Science Center is located at the confluence of the Susquehanna and Chenango Rivers in downtown Binghamton.  The areas premier source for cultural learning and exploration, the Roberson reflects the community through exhibitions, programs and family events focused on art, history and science education. It also features a new Digital Planetarium, the regions largest public model train layout, and the historic Roberson Mansion  and  Binghamton Visitors Center.","42.0945038","-75.9188711","Arts and Culture","http;//www.roberson.org","","Binghamton","30 Front Street","NY","13905","607-772-0660","(42.094503799999998, -75.918871100000004)"
"Chautauqua-Allegheny","Catt","Griffis Sculpture Park","The largest sculpture park in North America with 250 sculptures on 450 acres, the Griffis Sculpture Park in East Otto  features a variety of natural habitats including forests, ponds, wetlands and alpine meadows. Displays by local, national and international artists promote interaction with art to provide a unique cultural experience.","42.3749617","-78.6922069","Arts and Culture","http;//www.griffispark.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/765.jpg","East Otto","6902 Mill Valley Road","NY","14729","716-667-2808","(42.3749617, -78.692206900000002)"
"Chautauqua-Allegheny","Cattaraugus","Allegany State Park","Built by the Civilian Conservatoin Corps, Allegany is the largest in the NYS Parks system. One of the greatest 4-season recreational assets in Western New York, it features paved bikeways, and trails for horse back riding, snowmobiling and hiking. Ball fields, tennis courts, picnic areas and playgrounds ofer year-round activities. Campers are offered anything from a weekend retreat to an extended vacation.","42.102171","-78.75206","Innovation and Commerce","http;//nysparks.com/parks/73/","","Salamanca","ASP Route 1","NY","14779","Red House Area; 716-354-9121  Quaker; -2182","(42.102170999999998, -78.75206)"
"Chautauqua-Allegheny","Cattaraugus","American Museum of Cutlery","Within a 50 mile radius of Cattaraugus, approximately 150 different cutlery companies existed during a 200 year period. The American Museum of Cutlery brings this history to life with photographs, its premier examples of knives, swords, edged tools and weapons, and documents like blacksmith ledgers, factory records and interviews with cutlers.","42.3300116","-78.8690868","Innovation and Commerce","http;//www.ellicottville.com","","Cattaraugus","9 Main Street","NY","14719","716-257-9813","(42.330011599999999, -78.869086800000005)"
"Chautauqua-Allegheny","Cattaraugus","CUTCO/KaBar Knife Museum","CUTCO Cutlerys history is steeped in tradition and founded on the fine craftsmanship of early settlers to Western New York and Northern Pennsylvania. The company can trace its roots back to skilled cutlers who settled in the area after immigrating from Englands famous Sheffield cutlery industry in the late 1800s. The Visitors Center showcases the growth of CUTCO and Vector Marketing Corporation, and portrays the rich heritage of KA-BAR knives.","42.0741117","-78.408557","Innovation and Commerce","http;//www.kabar.com","","Olean","1040 East State Street","NY","14760","716-790-7000","(42.074111700000003, -78.408557000000002)"
"Chautauqua-Allegheny","Cattaraugus","Old Order Amish Community","New Yorks Amish Trail allows visitors to experience the traditional living culture of this Old Order Amish Community through its farm and handcrafted products for sale at a variety of small shops.  There are also museums and restaurants to be explored and enjoyed.  Guided tours are available.","42.239427","-78.984103","Arts and Culture","","","Various locations","Western Portion of Cattaraugus County","NY","N/A","800-331-0543","(42.239426999999999, -78.984103000000005)"
"Chautauqua-Allegheny","Cattaraugus","Onoville Marina","Situated on the 12,000 acre Allegheny Reservoir, the Marina is just north of the Allegheny National Forest and west of Allegany State Park in the Enchanted Mountains of New York. Bald eagles and osprey soar  over the pristine waters that reflect the surrounding hills of forest that change with the season, from a variety of green to the blaze of autumn foliage. View this while exploring the ninety-one miles of shoreline and secluded bays, or camp at one of the many U.S. Forest Service campsites accessible only by water.","42.028599","-78.969497","Natural History","http;//www.onovillemarina.org","","Steamburg","704 West Perimeter Road","NY","14783","716-354-2615","(42.028599, -78.969497000000004)"
"Chautauqua-Allegheny","Cattaraugus","Rock City Park","Prehistoric ocean floor consisting of gigantic boulders several stories high with huge crevices, sometimes referred to as streets. From Signal Rock, once used as a signaling point by Indians, visitors enjoy the 1,000-square-mile panoramic view of the Enchanted Mountains. Three Sisters, Balancing Rock (a 1,000 ton boulder) and Indian Face rock are just some of the natural rock formations found along Rock Citys scenic trails, including a three-quarter-mile nature trail.","42.017262","-78.475862","Natural History","http;//www.rockcitypark.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/787.jpg","Olean","505 A Route 16 South","NY","14760","866-404-ROCK or 716-372-7790","(42.017262000000002, -78.475862000000006)"
"Chautauqua-Allegheny","Cattaraugus","Salamanca Rail Museum","A fully restored passenger depot in Salamanca constructed in 1912 by the Buffalo, Rochester and Pittsburgh Railway, and the hub for three railroads serving the region, the Salamanca Rail Museum presents an authentic recreation of an early 20th century depot. From the brick-walled baggage room to the multi-windowed Ladies Retiring Room, everything in the building is either a restored original or an exact duplicate based on the original architectural plans.","42.1602095","-78.714432","Canals and Transportation","","","Salamanca","170 Main Street","NY","14779","716-945-3133","(42.160209500000001, -78.714432000000002)"
"Chautauqua-Allegheny","Cattaraugus","Seneca-Iroquois National Museum","The Seneca Nation of Indians were the original inhabitants of this part of New York State,involved in the American Revolution, the War of 1812 and the Civil War. The Seneca-Iroquois National Museum helps to keep their culture alive with exhibits exploring life in a longhouse as well as cultural art like beadwork, pottery, basketry and carvings.","42.1582642","-78.7480448","Native Americans","http;//www.senecamuseum.org","","Salamanca","814 Broad Street","NY","14779","716-945-1104 ext- 7845","(42.158264199999998, -78.748044800000002)"
"Chautauqua-Allegheny","Cattaraugus","St. Bonaventure University  Regina A. Quick Center for the Arts","The Arts Center is located on the Campus of St. Bonaventure University.  It houses a theater as well as an art museum and is home to the Universitys world-class collection, a broad spectrum of art and historical artifacts.  Rotating exhibits are also on display.","42.079856","-78.483725","Arts and Culture","http;//www.sbu.edu","","St Bonaventure","3261 West State Street","NY","14778","716-375-2479","(42.079855999999999, -78.483725000000007)"
"Chautauqua-Allegheny","Cattaraugus","Underground Railroad","There are many locations across Cattaraugus County were visitors can learn about what it was like to secretly house runaway slaves on their way to freedom.  These locations are being developed into a trail that will lead travelers  to experience what the fleeing slaves encountered as they sought freedom.","42.231806","-78.747609","Civil Rights","","","Various locations","Across Cattaraugus County","NY","N/A","800-331-0543","(42.231805999999999, -78.747608999999997)"
"Finger Lakes","Cayuga","Cayuga Museum/Case Research Lab","The Cayuga Museum and Case Research Lab are located on the historic Willard-Case Estate. The property is comprised of three buildings, the Willard-Case Mansion, which houses self-guided tours about the history of Cayuga County and the Finger Lakes, the Case Research Lab, a restored 1920s greenhouse-turned- science lab which familiarizes visitors with the birthplace of talking movies, and Theater Mack, a newly restored 1840s carriage house.","42.9277814","-76.5753475","Innovation and Commerce","http;//www.cayugamuseum.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/128.jpg","Auburn","203 Genesee Street","NY","13021","315-253-8051","(42.927781400000001, -76.575347500000007)"
"Finger Lakes","Cayuga","Fort Hill Cemetery","Fort Hill Cemetery, designated as a park in 1836 and incorporated in 1851, consists of 83 acres. The site is one of the best-preserved fortified villages of the Cayuga Indians in the mid-1600s.  It also includes a late 19th C. gothic-style chapel and is an example of landscape design and the rural cemetery movement. The Cemetery is the resting place of historic figures including William Seward, Harriet Tubman, Miles Keogh, Eliza Wright Osborne, Martha Coffin Wright and Theodore Case.","42.9262314","-76.5712875","Arts and Culture","http;//www.cayuganet.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/146.jpg","Auburn","19 Fort Street","NY","13021","315-253-8132","(42.926231399999999, -76.571287499999997)"
